Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Azz  inc. (aztec manufacturing co.),AZZ,"",280983.0,15536000.0,0.00319293,,1594,280983.0,,new,1.1379194,Q4 2021,INDUSTRIALS,13F,12/31/2021,55.29,46.24
Lufax holding ltd ads,LU,"",2749688.0,15481000.0,0.00318162,,1595,2749688.0,,new,0.1116715,Q4 2021,COMMUNICATIONS,13F,12/31/2021,5.63,5.46
Atara biotherapeutics inc,ATRA,"",975858.0,15380000.0,0.00316086,,1596,975858.0,,new,1.1036947,Q4 2021,HEALTH CARE,13F,12/31/2021,15.76,8.01
Horace mann educators corp.,HMN,"",397395.0,15379000.0,0.00316066,,1597,397395.0,,new,0.9610186,Q4 2021,FINANCE,13F,12/31/2021,38.7,40.6
Veris residential inc,VRE,"",835900.0,15364000.0,0.00315758,,1598,835900.0,,new,0.9190898,Q4 2021,REAL ESTATE,13F,12/31/2021,18.38,16.63
Advantage solutions inc.,ADV,"",1903630.0,15267000.0,0.00313764,,1599,1903630.0,,new,0.5975480,Q4 2021,INDUSTRIALS,13F,12/31/2021,8.02,6.15
Iamgold corp,IAG,"",4881363.0,15251000.0,0.00313435,,1600,4881363.0,,new,1.0233739,Q4 2021,MATERIALS,13F,12/31/2021,3.13,3.71
Mp materials corp,MP,"",333811.0,15162000.0,0.00311606,,1601,333811.0,,new,0.1880361,Q4 2021,FINANCE,13F,12/31/2021,45.42,49.07
Churchill cap iii corp,MPLN,"",3409174.0,15103000.0,0.00310394,,1602,3409174.0,,new,0.5338550,Q4 2021,FINANCE,13F,12/31/2021,4.43,4.77
Arcosa inc,ACA,"",286140.0,15080000.0,0.00309921,,1603,286140.0,,new,0.5922647,Q4 2021,INDUSTRIALS,13F,12/31/2021,52.7,54.44
Bridgebio pharma inc,BBIO,"",901495.0,15037000.0,0.00309037,,1604,901495.0,,new,0.6107366,Q4 2021,HEALTH CARE,13F,12/31/2021,16.68,10.98
Redwood trust  inc.,RWT,"",1135632.0,14979000.0,0.00307845,,1605,1135632.0,,new,0.9450287,Q4 2021,REAL ESTATE,13F,12/31/2021,13.19,9.7
Ttec holdings inc,TTEC,"",165366.0,14974000.0,0.00307742,,1606,165366.0,,new,0.3518868,Q4 2021,INDUSTRIALS,13F,12/31/2021,90.55,80.69
Jfrog ltd.,FROG,"",494311.0,14681000.0,0.00301721,,1607,494311.0,,new,0.5075850,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,29.7,25.35
Madison square garden entertainment corp,MSGE,"",208392.0,14658000.0,0.00301248,,1608,208392.0,,new,0.7621993,Q4 2021,COMMUNICATIONS,13F,12/31/2021,70.34,80.71
Invs real estate trust,CSR,"",132116.0,14652000.0,0.00301125,,1609,132116.0,,new,0.8783440,Q4 2021,REAL ESTATE,13F,12/31/2021,110.9,95.3
Acm research inc,ACMR,"",514800.0,14632000.0,0.00300714,,1610,514800.0,,new,0.9595602,Q4 2021,INDUSTRIALS,13F,12/31/2021,28.4233,16.64
Hyatt hotels corp,H,"",152396.0,14615000.0,0.00300364,,1611,152396.0,,new,0.3027679,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,95.9,97.0
Credicorp ltd adr,BAP,"",119564.0,14595000.0,0.00299953,,1612,119564.0,,new,0.1266805,Q4 2021,FINANCE,13F,12/31/2021,122.07,144.81
Kennametal inc.,KMT,"",405018.0,14544000.0,0.00298905,,1613,405018.0,,new,0.4874408,Q4 2021,INDUSTRIALS,13F,12/31/2021,35.91,27.02
Supernus pharmaceuticals inc,SUPN,"",495313.0,14443000.0,0.00296829,,1614,495313.0,,new,0.9368777,Q4 2021,HEALTH CARE,13F,12/31/2021,29.16,31.1
Astec industries inc,ASTE,"",208420.0,14437000.0,0.00296706,,1615,208420.0,,new,0.9154250,Q4 2021,INDUSTRIALS,13F,12/31/2021,69.27,39.72
Exp world holdings inc,EXPI,"",427346.0,14397000.0,0.00295884,,1616,427346.0,,new,0.2872632,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,33.69,16.34
Corvel corp.,CRVL,"",69111.0,14375000.0,0.00295432,,1617,69111.0,,new,0.3922191,Q4 2021,HEALTH CARE,13F,12/31/2021,208.0,178.82
Immunogen inc.,IMGN,"",1934900.0,14357000.0,0.00295062,,1618,1934900.0,,new,0.8773827,Q4 2021,HEALTH CARE,13F,12/31/2021,7.42,5.35
Adtalem global education inc. (kellery & taylor corp. -devry inc.),ATGE,"",484054.0,14309000.0,0.00294076,,1619,484054.0,,new,0.9718562,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,29.56,29.67
Scholar rock holding corp,SRRK,"",574372.0,14267000.0,0.00293212,,1620,574372.0,,new,1.6272335,Q4 2021,HEALTH CARE,13F,12/31/2021,24.84,9.9
Schrodinger  inc.,SDGR,"",408248.0,14219000.0,0.00292226,,1621,408248.0,,new,0.6598124,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,34.83,29.82
Service properties trust,SVC,"",1616712.0,14211000.0,0.00292061,,1622,1616712.0,,new,0.9792775,Q4 2021,REAL ESTATE,13F,12/31/2021,8.79,8.72
Marcus & millichap inc,MMI,"",275103.0,14157000.0,0.00290952,,1623,275103.0,,new,0.6930713,Q4 2021,REAL ESTATE,13F,12/31/2021,51.46,52.76
H&e equipment services inc,HEES,"",319066.0,14125000.0,0.00290294,,1624,319066.0,,new,0.8825181,Q4 2021,INDUSTRIALS,13F,12/31/2021,44.27,39.64
Cosan sa,CSAN,"",898354.0,14077000.0,0.00289307,,1625,898354.0,,new,0.1917439,Q4 2021,ENERGY,13F,12/31/2021,15.67,19.58
Treehouse foods inc,THS,"",345145.0,13989000.0,0.00287499,,1626,345145.0,,new,0.6185929,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,40.53,33.72
Patterson companies  inc.,PDCO,"",472770.0,13876000.0,0.00285177,,1627,472770.0,,new,0.4842863,Q4 2021,HEALTH CARE,13F,12/31/2021,29.35,35.01
Carvana co,CVNA,"",59835.0,13869000.0,0.00285033,,1628,59835.0,,new,0.0664088,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,231.79,101.53
Ltc properties  inc.,LTC,"",405799.0,13854000.0,0.00284724,,1629,405799.0,,new,1.0274196,Q4 2021,REAL ESTATE,13F,12/31/2021,34.14,36.78
Honest company inc,HNST,"",1710867.0,13841000.0,0.00284457,,1630,1710867.0,,new,1.8794852,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,8.09,4.52
Schneider national inc,SNDR,"",513309.0,13813000.0,0.00283882,,1631,513309.0,,new,0.5377060,Q4 2021,TRANSPORTS,13F,12/31/2021,26.91,21.62
Standex international corp.,SXI,"",124622.0,13791000.0,0.0028343,,1632,124622.0,,new,1.0185422,Q4 2021,INDUSTRIALS,13F,12/31/2021,110.66,97.93
Deluxe corp.,DLX,"",428420.0,13757000.0,0.00282731,,1633,428420.0,,new,0.9996855,Q4 2021,INDUSTRIALS,13F,12/31/2021,32.11,29.56
Big lots inc,BIG,"",305266.0,13752000.0,0.00282628,,1634,305266.0,,new,0.9995524,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,45.05,36.95
Proassurance corp.,PRA,"",540336.0,13671000.0,0.00280963,,1635,540336.0,,new,1.0008669,Q4 2021,FINANCE,13F,12/31/2021,25.3,25.76
Parsons corp,PSN,"",405463.0,13644000.0,0.00280409,,1636,405463.0,,new,0.3961121,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,33.65,39.68
Berkshire hills bancorp inc,BHLB,"",479003.0,13618000.0,0.00279874,,1637,479003.0,,new,0.9844014,Q4 2021,FINANCE,13F,12/31/2021,28.43,27.95
Mercury general corp.,MCY,"",256476.0,13609000.0,0.00279689,,1638,256476.0,,new,0.4631973,Q4 2021,FINANCE,13F,12/31/2021,53.06,53.6
Sony group corp,SONY,"",107650.0,13607000.0,0.00279648,,1639,107650.0,,new,0.0085365,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,126.4,89.14
Novagold resources inc,NG,"",1982697.0,13600000.0,0.00279504,,1640,1982697.0,,new,0.5955442,Q4 2021,MATERIALS,13F,12/31/2021,6.86,8.2
Energizer holdings inc,ENR,"",338077.0,13557000.0,0.00278621,,1641,338077.0,,new,0.4744932,Q4 2021,CONSUMER STAPLES,13F,12/31/2021,40.1,30.35
Safehold inc.,SAFE,"",169631.0,13545000.0,0.00278374,,1642,169631.0,,new,0.2991636,Q4 2021,REAL ESTATE,13F,12/31/2021,79.85,49.05
C3ai  inc.,AI,"",432390.0,13512000.0,0.00277696,,1643,432390.0,,new,0.4203192,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,31.25,19.69
Employers holdings inc,EIG,"",325091.0,13452000.0,0.00276463,,1644,325091.0,,new,1.1723667,Q4 2021,FINANCE,13F,12/31/2021,41.38,41.29
Cheesecake factory  inc. (the),CAKE,"",343304.0,13440000.0,0.00276216,,1645,343304.0,,new,0.6508988,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,39.15,36.77
Sprout social  inc.,SPT,"",148139.0,13435000.0,0.00276113,,1646,148139.0,,new,0.3221932,Q4 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,90.69,72.16
Fulgent genetics inc,FLGT,"",133499.0,13429000.0,0.0027599,,1647,133499.0,,new,0.4412824,Q4 2021,HEALTH CARE,13F,12/31/2021,100.59,56.13
